date,network,active_addresses,avg_gas_gwei,erc20_transfer_count,whale_netflow_eth,total_transfer_eth,transaction_count,avg_tx_amount_eth
2026-04-10,ethereum,706516,0.5644,3636021,562.2291,100.9469,2415730,4.179e-05
2026-04-11,ethereum,680962,0.3801,3271953,347.8272,67.0862,2864662,2.342e-05
2026-04-12,ethereum,582563,0.3652,2530730,373.3502,76.1364,3617817,2.104e-05
2026-04-13,ethereum,813631,0.5736,3212463,815.2783,135.2955,2526748,5.355e-05
2026-04-14,ethereum,900664,0.5768,2930497,790.5841,120.3196,2839336,4.238e-05
2026-04-15,ethereum,689452,0.5574,2983426,604.6461,115.2537,2504075,4.603e-05
2026-04-16,ethereum,576645,0.7705,4036520,578.2176,131.1583,1872611,7.004e-05
2026-04-17,ethereum,600103,1.8944,3775864,1199.1743,286.0725,1888757,0.00015146
2026-04-18,ethereum,536956,1.8264,3899983,1289.2962,291.2217,2129969,0.00013673
2026-04-19,ethereum,446408,2.7617,2981907,1399.9071,423.2682,1736671,0.00024372
2026-04-20,ethereum,550407,3.2945,3198302,1508.9525,416.332,1847934,0.0002253
2026-04-21,ethereum,625256,1.7792,3066611,1416.7696,316.9302,1932624,0.00016399
2026-04-22,ethereum,539790,4.9701,2657900,2142.9251,585.8193,1952492,0.00030004
2026-04-23,ethereum,585051,2.9561,2676104,2028.776,476.9256,1933746,0.00024663
2026-04-24,ethereum,665429,2.356,2798625,2234.3968,425.7182,2035895,0.00020911
2026-04-25,ethereum,885491,1.3847,3188500,1599.5796,272.6295,2114944,0.00012891
2026-04-26,ethereum,674168,2.1917,2413754,2275.3473,415.9639,2387950,0.00017419
2026-04-27,ethereum,541906,2.5635,2058516,1946.4043,423.1868,3161280,0.00013387
2026-04-28,ethereum,497098,1.8522,2035912,1231.8965,318.1546,3627491,8.771e-05
2026-04-29,ethereum,499474,1.7233,2276785,1075.0138,292.3056,3241629,9.017e-05
2026-04-30,ethereum,602225,1.7899,2694827,947.5324,236.6645,3197359,7.402e-05
2026-05-01,ethereum,604116,0.9829,2570667,833.2704,207.6578,2896417,7.169e-05
2026-05-02,ethereum,439588,0.6286,2385623,627.4684,142.264,3170691,4.487e-05
2026-05-03,ethereum,458828,0.6826,2769678,717.5058,166.369,2480596,6.707e-05
2026-05-04,ethereum,550821,1.385,2803605,993.7297,244.6223,2138093,0.00011441
2026-05-05,ethereum,747393,0.9448,3591781,685.9195,157.7253,2001403,7.881e-05
2026-05-06,ethereum,791463,1.3916,3187458,822.1565,209.9701,2018650,0.00010402
2026-05-07,ethereum,690248,1.8751,2770766,901.3282,237.927,1950229,0.000122
2026-05-08,ethereum,550749,2.4124,3081240,1142.6591,295.4042,1822874,0.00016205
2026-05-09,ethereum,720117,0.8908,3321714,504.0559,141.5787,1843847,7.678e-05
