network,address,inflow_eth,outflow_eth,netflow_eth
ethereum,0x00000000219ab540356cbb839cbe05303d7705fa,128507.7869,86702.6666,41805.1203
ethereum,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,33699.1168,22937.9571,10761.1596
ethereum,0x28c6c06298d514db089934071355e5743bf21d60,20615.5384,14041.7477,6573.7907
ethereum,0x49048044d57e1c92a77f79988d21fa8faf74e97e,11108.5292,16513.1289,-5404.5997
ethereum,0x0e58e8993100f1cbe45376c410f97f4893d9bfcd,8782.4866,13222.5716,-4440.085
ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,12312.9791,8074.5395,4238.4396
ethereum,0x40b38765696e3d5d8d9d834d8aad4bb6e418e489,6710.3666,10321.2107,-3610.844
ethereum,0xafcd96e580138cfa2332c632e66308eacd45c5da,7141.5579,4658.4451,2483.1127
ethereum,0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,6742.0083,4384.9809,2357.0273
ethereum,0x8315177ab297ba92a06054ce80a67ed4dbd7ed3a,6309.8111,4088.8126,2220.9985
